FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
K10434,20040724.2147,Lightning,Fire,52.3327,-119.9387,70.0
G60533,20180615.1,Person,Fire,55.11380000000001,-124.032,2.0
R10065,20040620.1718,Lightning,Fire,53.1,-126.6333,1400.0
C20655,20090927.1302,Person,Fire,51.92590000000001,-122.5018,6.9
K20132,20020714.18,Person,Fire,50.76750000000001,-121.2998,2.0
N40274,20100727.19,Lightning,Fire,51.0838,-116.3204,82.2
K10213,20030722.14,Person,Fire,52.2541,-119.1153,52.3
K50014,20140406.14,Person,Fire,49.40790000000001,-119.8244,3.8
K60482,20020824.1652,Lightning,Fire,49.0523,-120.6367,13.0
G90441,20040724.2151,Lightning,Fire,59.84,-120.0083,2299.1
